Date,Open,High,Low,Close,Adj Close,Volume,daily_change,30d_ma,30d_volatility,daily_range,P/E,30d_avg_volume
2021-12-17,169.929993,173.470001,169.690002,171.139999,170.152466,195432700,,,,3.7799990000000037,1.0058038124466557,
2021-12-20,168.279999,170.580002,167.460007,169.75,168.770493,107499100,-0.00812199958000459,,,3.119995000000017,1.0058037811147473,
2021-12-21,171.559998,173.199997,169.119995,172.990005,171.991791,91185900,0.019086921944035273,,,4.0800020000000075,1.0058038467661516,
2021-12-22,173.039993,175.860001,172.149994,175.639999,174.626495,92135300,0.015318769428326107,,,3.7100070000000187,1.0058038386443018,
2021-12-23,175.850006,176.850006,175.270004,176.279999,175.262817,68356600,0.003643816918946996,,,1.5800020000000075,1.005803752429701,
2021-12-27,177.089996,180.419998,177.070007,180.330002,179.289459,74919600,0.022974829946532882,,,3.3499909999999886,1.0058037042768924,
2021-12-28,180.160004,181.330002,178.529999,179.289993,178.255432,79144300,-0.0057672544139383275,,,2.800003000000004,1.00580381191413,
2021-12-29,179.330002,180.630005,178.139999,179.380005,178.344925,62348900,0.0005020469826222396,,,2.4900060000000224,1.0058038096682596,
2021-12-30,179.470001,180.570007,178.089996,178.199997,177.171722,59773000,-0.0065782582623967745,,,2.4800109999999904,1.005803832510021,
2021-12-31,178.089996,179.229996,177.259995,177.570007,176.545364,64062300,-0.0035352974781475144,,,1.9700009999999963,1.005803851071388,
2022-01-03,177.830002,182.880005,177.710007,182.009995,180.959732,104487900,0.025004155121759908,,,5.169998000000021,1.0058038492232073,
2022-01-04,182.630005,182.940002,179.119995,179.699997,178.663071,99310400,-0.012691599711323609,,,3.820007000000004,1.0058038071001254,
2022-01-05,179.610001,180.169998,174.639999,174.919998,173.91066,94537600,-0.026599883582635764,,,5.529999000000004,1.0058037730407094,
2022-01-06,172.699997,175.300003,171.639999,172.0,171.007492,96904000,-0.016693334286454697,,,3.660004000000015,1.0058038860659975,
2022-01-07,172.889999,174.139999,171.029999,172.169998,171.176529,86709100,0.0009883604651161892,,,3.109999999999985,1.0058037688099166,
2022-01-10,169.080002,172.5,168.169998,172.190002,171.196426,106765600,0.00011618749045938515,,,4.3300020000000075,1.0058037192902614,
2022-01-11,172.320007,175.179993,170.820007,175.080002,174.069733,76138300,0.01678378515844381,,,4.359985999999992,1.0058038177148234,
2022-01-12,176.119995,177.179993,174.820007,175.529999,174.517136,74805200,0.002570236433970363,,,2.359985999999992,1.0058038025560998,
2022-01-13,175.779999,176.619995,171.789993,172.190002,171.196426,84505800,-0.019028069384310786,,,4.830001999999979,1.0058037192902614,
2022-01-14,171.339996,173.779999,171.089996,173.070007,172.07135,80440800,0.005110662580746217,,,2.69000299999999,1.005803737809926,
2022-01-18,171.509995,172.539993,169.410004,169.800003,168.820206,90956700,-0.018894111444740402,,,3.1299890000000232,1.005803789861505,
2022-01-19,170.0,171.080002,165.940002,166.229996,165.270798,94815000,-0.02102477583584028,,,5.140000000000015,1.0058037960220896,
2022-01-20,166.979996,169.679993,164.179993,164.509995,163.56073,91420500,-0.01034711569144231,,,5.5,1.0058037464127239,
2022-01-21,164.419998,166.330002,162.300003,162.410004,161.47287,122848900,-0.012765127127990161,,,4.029999000000004,1.0058036622498874,
2022-01-24,160.020004,162.300003,154.699997,161.619995,160.687393,162294600,-0.004864287793503119,,,7.600006000000008,1.005803828057625,
2022-01-25,158.979996,162.759995,157.020004,159.779999,158.858017,115798400,-0.011384705215465307,,,5.739991000000003,1.0058038115885584,
2022-01-26,163.5,164.389999,157.820007,159.690002,158.768524,108275300,-0.0005632557301493701,,,6.569991999999985,1.0058039085883295,
2022-01-27,162.449997,163.839996,158.279999,159.220001,158.301239,121954600,-0.002943208680027398,,,5.55999700000001,1.005803883821781,
2022-01-28,165.710007,170.350006,162.800003,170.330002,169.347153,179935700,0.06977767196471762,,,7.550003000000004,1.0058037527208976,
